Models                  ,Dataset,R-sq,RMSE,MAE
Random Forest,Training,0.825028258,14.41134518,3.416836775
Random Forest,Testing,0.697512042,18.96641123,3.770673421
Neural Network,Training,0.668419257,19.83879151,4.490061158
Neural Network,Testing,0.640941869,20.66395752,4.532082144
KNN,Training,0.847831483,13.43949553,2.009712891
KNN,Testing,0.451444286,25.54121123,4.235450087
Linear Regression,Training,0.332506248,28.14778113,8.020357349
Linear Regression,Testing,0.336745254,28.08479773,7.868864581
SVR,Training,0.315651252,28.50094772,4.582356694
SVR,Testing,0.301363516,28.82416585,4.4958737
